Number	Type	Description
AN_genomes_afr_XY	1	Integer	Total number of alleles in XY samples in the African/African-American genetic ancestry group in genomes dataset
nhomalt_genomes_afr_XY	A	Integer	Count of homozygous individuals in XY samples in the African/African-American genetic ancestry group in genomes dataset
AC_genomes_afr	A	Integer	Alternate allele count for samples in the African/African-American genetic ancestry group in genomes dataset
AF_genomes_afr	A	Float	Alternate allele frequency in samples in the African/African-American genetic ancestry group in genomes dataset
AN_genomes_afr	1	Integer	Total number of alleles in samples in the African/African-American genetic ancestry group in genomes dataset
nhomalt_genomes_afr	A	Integer	Count of homozygous individuals in samples in the African/African-American genetic ancestry group in genomes dataset
AC_genomes_ami_XX	A	Integer	Alternate allele count for XX samples in the Amish genetic ancestry group in genomes dataset
AF_genomes_ami_XX	A	Float	Alternate allele frequency in XX samples in the Amish genetic ancestry group in genomes dataset
AN_genomes_ami_XX	1	Integer	Total number of alleles in XX samples in the Amish genetic ancestry group in genomes dataset
nhomalt_genomes_ami_XX	A	Integer	Count of homozygous individuals in XX samples in the Amish genetic ancestry group in genomes dataset
AC_genomes_ami_XY	A	Integer	Alternate allele count for XY samples in the Amish genetic ancestry group in genomes dataset
AF_genomes_ami_XY	A	Float	Alternate allele frequency in XY samples in the Amish genetic ancestry group in genomes dataset
AN_genomes_ami_XY	1	Integer	Total number of alleles in XY samples in the Amish genetic ancestry group in genomes dataset
nhomalt_genomes_ami_XY	A	Integer	Count of homozygous individuals in XY samples in the Amish genetic ancestry group in genomes dataset
AC_genomes_ami	A	Integer	Alternate allele count for samples in the Amish genetic ancestry group in genomes dataset
AF_genomes_ami	A	Float	Alternate allele frequency in samples in the Amish genetic ancestry group in genomes dataset
AN_genomes_ami	1	Integer	Total number of alleles in samples in the Amish genetic ancestry group in genomes dataset
nhomalt_genomes_ami	A	Integer	Count of homozygous individuals in samples in the Amish genetic ancestry group in genomes dataset
AC_genomes_amr_XX	A	Integer	Alternate allele count for XX samples in the Admixed American genetic ancestry group in genomes dataset
AF_genomes_amr_XX	A	Float	Alternate allele frequency in XX samples in the Admixed American genetic ancestry group in genomes dataset
AN_genomes_amr_XX	1	Integer	Total number of alleles in XX samples in the Admixed American genetic ancestry group in genomes dataset
nhomalt_genomes_amr_XX	A	Integer	Count of homozygous individuals in XX samples in the Admixed American genetic ancestry group in genomes dataset
AC_genomes_amr_XY	A	Integer	Alternate allele count for XY samples in the Admixed American genetic ancestry group in genomes dataset
AF_genomes_amr_XY	A	Float	Alternate allele frequency in XY samples in the Admixed American genetic ancestry group in genomes dataset
AN_genomes_amr_XY	1	Integer	Total number of alleles in XY samples in the Admixed American genetic ancestry group in genomes dataset
nhomalt_genomes_amr_XY	A	Integer	Count of homozygous individuals in XY samples in the Admixed American genetic ancestry group in genomes dataset
AC_genomes_amr	A	Integer	Alternate allele count for samples in the Admixed American genetic ancestry group in genomes dataset
AF_genomes_amr	A	Float	Alternate allele frequency in samples in the Admixed American genetic ancestry group in genomes dataset
AN_genomes_amr	1	Integer	Total number of alleles in samples in the Admixed American genetic ancestry group in genomes dataset
nhomalt_genomes_amr	A	Integer	Count of homozygous individuals in samples in the Admixed American genetic ancestry group in genomes dataset
AC_genomes_asj_XX	A	Integer	Alternate allele count for XX samples in the Ashkenazi Jewish genetic ancestry group in genomes dataset
AF_genomes_asj_XX	A	Float	Alternate allele frequency in XX samples in the Ashkenazi Jewish genetic ancestry group in genomes dataset
AN_genomes_asj_XX	1	Integer	Total number of alleles in XX samples in the Ashkenazi Jewish genetic ancestry group in genomes dataset
nhomalt_genomes_asj_XX	A	Integer	Count of homozygous individuals in XX samples in the Ashkenazi Jewish genetic ancestry group in genomes dataset
AC_genomes_asj_XY	A	Integer	Alternate allele count for XY samples in the Ashkenazi Jewish genetic ancestry group in genomes dataset
AF_genomes_asj_XY	A	Float	Alternate allele frequency in XY samples in the Ashkenazi Jewish genetic ancestry group in genomes dataset
AN_genomes_asj_XY	1	Integer	Total number of alleles in XY samples in the Ashkenazi Jewish genetic ancestry group in genomes dataset
nhomalt_genomes_asj_XY	A	Integer	Count of homozygous individuals in XY samples in the Ashkenazi Jewish genetic ancestry group in genomes dataset
AC_genomes_asj	A	Integer	Alternate allele count for samples in the Ashkenazi Jewish genetic ancestry group in genomes dataset
AF_genomes_asj	A	Float	Alternate allele frequency in samples in the Ashkenazi Jewish genetic ancestry group in genomes dataset
AN_genomes_asj	1	Integer	Total number of alleles in samples in the Ashkenazi Jewish genetic ancestry group in genomes dataset
nhomalt_genomes_asj	A	Integer	Count of homozygous individuals in samples in the Ashkenazi Jewish genetic ancestry group in genomes dataset
AC_genomes_eas_XX	A	Integer	Alternate allele count for XX samples in the East Asian genetic ancestry group in genomes dataset
AF_genomes_eas_XX	A	Float	Alternate allele frequency in XX samples in the East Asian genetic ancestry group in genomes dataset
AN_genomes_eas_XX	1	Integer	Total number of alleles in XX samples in the East Asian genetic ancestry group in genomes dataset
nhomalt_genomes_eas_XX	A	Integer	Count of homozygous individuals in XX samples in the East Asian genetic ancestry group in genomes dataset
AC_genomes_eas_XY	A	Integer	Alternate allele count for XY samples in the East Asian genetic ancestry group in genomes dataset
AF_genomes_eas_XY	A	Float	Alternate allele frequency in XY samples in the East Asian genetic ancestry group in genomes dataset
AN_genomes_eas_XY	1	Integer	Total number of alleles in XY samples in the East Asian genetic ancestry group in genomes dataset
nhomalt_genomes_eas_XY	A	Integer	Count of homozygous individuals in XY samples in the East Asian genetic ancestry group in genomes dataset
AC_genomes_eas	A	Integer	Alternate allele count for samples in the East Asian genetic ancestry group in genomes dataset
AF_genomes_eas	A	Float	Alternate allele frequency in samples in the East Asian genetic ancestry group in genomes dataset
AN_genomes_eas	1	Integer	Total number of alleles in samples in the East Asian genetic ancestry group in genomes dataset
nhomalt_genomes_eas	A	Integer	Count of homozygous individuals in samples in the East Asian genetic ancestry group in genomes dataset
AC_genomes_fin_XX	A	Integer	Alternate allele count for XX samples in the Finnish genetic ancestry group in genomes dataset
AF_genomes_fin_XX	A	Float	Alternate allele frequency in XX samples in the Finnish genetic ancestry group in genomes dataset
AN_genomes_fin_XX	1	Integer	Total number of alleles in XX samples in the Finnish genetic ancestry group in genomes dataset
nhomalt_genomes_fin_XX	A	Integer	Count of homozygous individuals in XX samples in the Finnish genetic ancestry group in genomes dataset
AC_genomes_fin_XY	A	Integer	Alternate allele count for XY samples in the Finnish genetic ancestry group in genomes dataset
AF_genomes_fin_XY	A	Float	Alternate allele frequency in XY samples in the Finnish genetic ancestry group in genomes dataset
AN_genomes_fin_XY	1	Integer	Total number of alleles in XY samples in the Finnish genetic ancestry group in genomes dataset
nhomalt_genomes_fin_XY	A	Integer	Count of homozygous individuals in XY samples in the Finnish genetic ancestry group in genomes dataset
AC_genomes_fin	A	Integer	Alternate allele count for samples in the Finnish genetic ancestry group in genomes dataset
AF_genomes_fin	A	Float	Alternate allele frequency in samples in the Finnish genetic ancestry group in genomes dataset
AN_genomes_fin	1	Integer	Total number of alleles in samples in the Finnish genetic ancestry group in genomes dataset
nhomalt_genomes_fin	A	Integer	Count of homozygous individuals in samples in the Finnish genetic ancestry group in genomes dataset
AC_genomes_mid_XX	A	Integer	Alternate allele count for XX samples in the Middle Eastern genetic ancestry group in genomes dataset
AF_genomes_mid_XX	A	Float	Alternate allele frequency in XX samples in the Middle Eastern genetic ancestry group in genomes dataset
AN_genomes_mid_XX	1	Integer	Total number of alleles in XX samples in the Middle Eastern genetic ancestry group in genomes dataset
nhomalt_genomes_mid_XX	A	Integer	Count of homozygous individuals in XX samples in the Middle Eastern genetic ancestry group in genomes dataset
AC_genomes_mid_XY	A	Integer	Alternate allele count for XY samples in the Middle Eastern genetic ancestry group in genomes dataset
AF_genomes_mid_XY	A	Float	Alternate allele frequency in XY samples in the Middle Eastern genetic ancestry group in genomes dataset
AN_genomes_mid_XY	1	Integer	Total number of alleles in XY samples in the Middle Eastern genetic ancestry group in genomes dataset
nhomalt_genomes_mid_XY	A	Integer	Count of homozygous individuals in XY samples in the Middle Eastern genetic ancestry group in genomes dataset
AC_genomes_mid	A	Integer	Alternate allele count for samples in the Middle Eastern genetic ancestry group in genomes dataset
AF_genomes_mid	A	Float	Alternate allele frequency in samples in the Middle Eastern genetic ancestry group in genomes dataset
AN_genomes_mid	1	Integer	Total number of alleles in samples in the Middle Eastern genetic ancestry group in genomes dataset
nhomalt_genomes_mid	A	Integer	Count of homozygous individuals in samples in the Middle Eastern genetic ancestry group in genomes dataset
AC_genomes_nfe_XX	A	Integer	Alternate allele count for XX samples in the Non-Finnish European genetic ancestry group in genomes dataset
AF_genomes_nfe_XX	A	Float	Alternate allele frequency in XX samples in the Non-Finnish European genetic ancestry group in genomes dataset
AN_genomes_nfe_XX	1	Integer	Total number of alleles in XX samples in the Non-Finnish European genetic ancestry group in genomes dataset
nhomalt_genomes_nfe_XX	A	Integer	Count of homozygous individuals in XX samples in the Non-Finnish European genetic ancestry group in genomes dataset
AC_genomes_nfe_XY	A	Integer	Alternate allele count for XY samples in the Non-Finnish European genetic ancestry group in genomes dataset
AF_genomes_nfe_XY	A	Float	Alternate allele frequency in XY samples in the Non-Finnish European genetic ancestry group in genomes dataset
AN_genomes_nfe_XY	1	Integer	Total number of alleles in XY samples in the Non-Finnish European genetic ancestry group in genomes dataset
nhomalt_genomes_nfe_XY	A	Integer	Count of homozygous individuals in XY samples in the Non-Finnish European genetic ancestry group in genomes dataset
AC_genomes_nfe	A	Integer	Alternate allele count for samples in the Non-Finnish European genetic ancestry group in genomes dataset
AF_genomes_nfe	A	Float	Alternate allele frequency in samples in the Non-Finnish European genetic ancestry group in genomes dataset
AN_genomes_nfe	1	Integer	Total number of alleles in samples in the Non-Finnish European genetic ancestry group in genomes dataset
nhomalt_genomes_nfe	A	Integer	Count of homozygous individuals in samples in the Non-Finnish European genetic ancestry group in genomes dataset
AC_genomes_raw	A	Integer	Alternate allele count for samples, before removing low-confidence genotypes in genomes dataset
AF_genomes_raw	A	Float	Alternate allele frequency in samples, before removing low-confidence genotypes in genomes dataset
AN_genomes_raw	1	Integer	Total number of alleles in samples, before removing low-confidence genotypes in genomes dataset
nhomalt_genomes_raw	A	Integer	Count of homozygous individuals in samples, before removing low-confidence genotypes in genomes dataset
AC_genomes_remaining_XX	A	Integer	Alternate allele count for XX samples in the Remaining individuals genetic ancestry group in genomes dataset
AF_genomes_remaining_XX	A	Float	Alternate allele frequency in XX samples in the Remaining individuals genetic ancestry group in genomes dataset
AN_genomes_remaining_XX	1	Integer	Total number of alleles in XX samples in the Remaining individuals genetic ancestry group in genomes dataset
nhomalt_genomes_remaining_XX	A	Integer	Count of homozygous individuals in XX samples in the Remaining individuals genetic ancestry group in genomes dataset
AC_genomes_remaining_XY	A	Integer	Alternate allele count for XY samples in the Remaining individuals genetic ancestry group in genomes dataset
AF_genomes_remaining_XY	A	Float	Alternate allele frequency in XY samples in the Remaining individuals genetic ancestry group in genomes dataset
AN_genomes_remaining_XY	1	Integer	Total number of alleles in XY samples in the Remaining individuals genetic ancestry group in genomes dataset
nhomalt_genomes_remaining_XY	A	Integer	Count of homozygous individuals in XY samples in the Remaining individuals genetic ancestry group in genomes dataset
AC_genomes_remaining	A	Integer	Alternate allele count for samples in the Remaining individuals genetic ancestry group in genomes dataset
AF_genomes_remaining	A	Float	Alternate allele frequency in samples in the Remaining individuals genetic ancestry group in genomes dataset
AN_genomes_remaining	1	Integer	Total number of alleles in samples in the Remaining individuals genetic ancestry group in genomes dataset
nhomalt_genomes_remaining	A	Integer	Count of homozygous individuals in samples in the Remaining individuals genetic ancestry group in genomes dataset
AC_genomes_sas_XX	A	Integer	Alternate allele count for XX samples in the South Asian genetic ancestry group in genomes dataset
AF_genomes_sas_XX	A	Float	Alternate allele frequency in XX samples in the South Asian genetic ancestry group in genomes dataset
AN_genomes_sas_XX	1	Integer	Total number of alleles in XX samples in the South Asian genetic ancestry group in genomes dataset
nhomalt_genomes_sas_XX	A	Integer	Count of homozygous individuals in XX samples in the South Asian genetic ancestry group in genomes dataset
AC_genomes_sas_XY	A	Integer	Alternate allele count for XY samples in the South Asian genetic ancestry group in genomes dataset
AF_genomes_sas_XY	A	Float	Alternate allele frequency in XY samples in the South Asian genetic ancestry group in genomes dataset
AN_genomes_sas_XY	1	Integer	Total number of alleles in XY samples in the South Asian genetic ancestry group in genomes dataset
nhomalt_genomes_sas_XY	A	Integer	Count of homozygous individuals in XY samples in the South Asian genetic ancestry group in genomes dataset
AC_genomes_sas	A	Integer	Alternate allele count for samples in the South Asian genetic ancestry group in genomes dataset
AF_genomes_sas	A	Float	Alternate allele frequency in samples in the South Asian genetic ancestry group in genomes dataset
AN_genomes_sas	1	Integer	Total number of alleles in samples in the South Asian genetic ancestry group in genomes dataset
nhomalt_genomes_sas	A	Integer	Count of homozygous individuals in samples in the South Asian genetic ancestry group in genomes dataset
AC_grpmax_genomes	A	Integer	Allele count in the genetic ancestry group with the maximum allele frequency in genomes dataset
AF_grpmax_genomes	A	Float	Maximum allele frequency across genetic ancestry groups in genomes dataset
AN_grpmax_genomes	A	Integer	Total number of alleles in the genetic ancestry group with the maximum allele frequency in genomes dataset
nhomalt_grpmax_genomes	A	Integer	Count of homozygous individuals in the genetic ancestry group with the maximum allele frequency in genomes dataset
faf95_genomes_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in genomes dataset in non-PAR regions of sex chromosomes only
faf99_genomes_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in genomes dataset in non-PAR regions of sex chromosomes only
faf95_genomes_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in genomes dataset in non-PAR regions of sex chromosomes only
faf99_genomes_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in genomes dataset in non-PAR regions of sex chromosomes only
faf95_genomes	A	Float	Filtering allele frequency (using Poisson 95% CI) in genomes dataset
faf99_genomes	A	Float	Filtering allele frequency (using Poisson 99% CI) in genomes dataset
faf95_genomes_afr_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in the African/African-American genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf99_genomes_afr_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in the African/African-American genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf95_genomes_afr_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in the African/African-American genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf99_genomes_afr_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in the African/African-American genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf95_genomes_afr	A	Float	Filtering allele frequency (using Poisson 95% CI) for samples in the African/African-American genetic ancestry group in genomes dataset
faf99_genomes_afr	A	Float	Filtering allele frequency (using Poisson 99% CI) for samples in the African/African-American genetic ancestry group in genomes dataset
faf95_genomes_amr_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in the Admixed American genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf99_genomes_amr_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in the Admixed American genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf95_genomes_amr_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in the Admixed American genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf99_genomes_amr_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in the Admixed American genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf95_genomes_amr	A	Float	Filtering allele frequency (using Poisson 95% CI) for samples in the Admixed American genetic ancestry group in genomes dataset
faf99_genomes_amr	A	Float	Filtering allele frequency (using Poisson 99% CI) for samples in the Admixed American genetic ancestry group in genomes dataset
faf95_genomes_eas_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in the East Asian genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf99_genomes_eas_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in the East Asian genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf95_genomes_eas_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in the East Asian genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf99_genomes_eas_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in the East Asian genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf95_genomes_eas	A	Float	Filtering allele frequency (using Poisson 95% CI) for samples in the East Asian genetic ancestry group in genomes dataset
faf99_genomes_eas	A	Float	Filtering allele frequency (using Poisson 99% CI) for samples in the East Asian genetic ancestry group in genomes dataset
faf95_genomes_nfe_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in the Non-Finnish European genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf99_genomes_nfe_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in the Non-Finnish European genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf95_genomes_nfe_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in the Non-Finnish European genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf99_genomes_nfe_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in the Non-Finnish European genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf95_genomes_nfe	A	Float	Filtering allele frequency (using Poisson 95% CI) for samples in the Non-Finnish European genetic ancestry group in genomes dataset
faf99_genomes_nfe	A	Float	Filtering allele frequency (using Poisson 99% CI) for samples in the Non-Finnish European genetic ancestry group in genomes dataset
faf95_genomes_sas_XX	A	Float	Filtering allele frequency (using Poisson 95% CI) for XX samples in the South Asian genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf99_genomes_sas_XX	A	Float	Filtering allele frequency (using Poisson 99% CI) for XX samples in the South Asian genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf95_genomes_sas_XY	A	Float	Filtering allele frequency (using Poisson 95% CI) for XY samples in the South Asian genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf99_genomes_sas_XY	A	Float	Filtering allele frequency (using Poisson 99% CI) for XY samples in the South Asian genetic ancestry group in genomes dataset in non-PAR regions of sex chromosomes only
faf95_genomes_sas	A	Float	Filtering allele frequency (using Poisson 95% CI) for samples in the South Asian genetic ancestry group in genomes dataset
faf99_genomes_sas	A	Float	Filtering allele frequency (using Poisson 99% CI) for samples in the South Asian genetic ancestry group in genomes dataset
fafmax_faf99_max_genomes	A	Float	Maximum filtering allele frequency (using Poisson 99% CI) across genetic ancestry groups in genomes dataset
fafmax_faf99_max_gen_anc_genomes	A	String	Genetic ancestry group with maximum filtering allele frequency (using Poisson 99% CI) in genomes dataset
age_hist_het_bin_freq_genomes	A	String	Histogram of ages of heterozygous individuals in genomes dataset; bin edges are: 30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0|70.0|75.0|80.0; total number of individuals of any genotype bin: 1332|1401|1642|2949|4283|3601|3282|2909|1955|1202
age_hist_het_n_smaller_genomes	A	Integer	Count of age values falling below lowest histogram bin edge for heterozygous individuals in genomes dataset
age_hist_het_n_larger_genomes	A	Integer	Count of age values falling above highest histogram bin edge for heterozygous individuals in genomes dataset
age_hist_hom_bin_freq_genomes	A	String	Histogram of ages of homozygous alternate individuals in genomes dataset; bin edges are: 30.0|35.0|40.0|45.0|50.0|55.0|60.0|65.0|70.0|75.0|80.0; total number of individuals of any genotype bin: 1332|1401|1642|2949|4283|3601|3282|2909|1955|1202
age_hist_hom_n_smaller_genomes	A	Integer	Count of age values falling below lowest histogram bin edge for homozygous alternate individuals in genomes dataset
age_hist_hom_n_larger_genomes	A	Integer	Count of age values falling above highest histogram bin edge for homozygous alternate individuals in genomes dataset
gq_hist_alt_bin_freq_genomes	A	String	Histogram for GQ in heterozygous individuals calculated on high quality genotypes in genomes dataset; bin edges are: 0|5|10|15|20|25|30|35|40|45|50|55|60|65|70|75|80|85|90|95|100
gq_hist_all_bin_freq_genomes	A	String	Histogram for GQ calculated on high quality genotypes in genomes dataset; bin edges are: 0|5|10|15|20|25|30|35|40|45|50|55|60|65|70|75|80|85|90|95|100
dp_hist_alt_bin_freq_genomes	A	String	Histogram for DP in heterozygous individuals calculated on high quality genotypes in genomes dataset; bin edges are: 0|5|10|15|20|25|30|35|40|45|50|55|60|65|70|75|80|85|90|95|100
dp_hist_alt_n_larger_genomes	A	Integer	Count of DP values falling above highest histogram bin edge DP in heterozygous individuals calculated on high quality genotypes in genomes dataset
dp_hist_all_bin_freq_genomes	A	String	Histogram for DP calculated on high quality genotypes in genomes dataset; bin edges are: 0|5|10|15|20|25|30|35|40|45|50|55|60|65|70|75|80|85|90|95|100
dp_hist_all_n_larger_genomes	A	Integer	Count of DP values falling above highest histogram bin edge DP calculated on high quality genotypes in genomes dataset
ab_hist_alt_bin_freq_genomes	A	String	Histogram for AB in heterozygous individuals calculated on high quality genotypes in genomes dataset; bin edges are: 0.00|0.05|0.10|0.15|0.20|0.25|0.30|0.35|0.40|0.45|0.50|0.55|0.60|0.65|0.70|0.75|0.80|0.85|0.90|0.95|1.00
